ID,Publication date,Title,Authors,Publication venue,I1,I2,I3,E1,E2,E3,E4,Included
S1,2015,"Virtual reality in software engineering: Affordances, applications, and challenges",A Elliott B Peiris C Parnin�,ieeexplore.ieee.org,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes
S2,2019,On the use of virtual reality in software visualization: The case of the city metaphor,S Romano N Capece U Erra G Scanniello…�,Elsevier,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes
S3,2019,Enabling human robot interaction in flexible robotic assembly lines: An augmented reality based software suite,N Kousi C Stoubos C Gkournelos G Michalos…�,Elsevier,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes
S4,2018,Augmented reality software design for educational purposes,ОВ Сироватський СО Семеріков ЄО Модло…,elibrary.kdpu.edu.ua,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No
S5,2019,Software framework for customized augmented reality headsets in medicine,F Cutolo B Fida N Cattari V Ferrari�,ieeexplore.ieee.org,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes
S6,2019,Using Augmented Reality in Software Engineering Education? First insights to a comparative study of 2D and AR UML modeling,R Reuter F Hauser…�,scholarspace.manoa.hawaii.edu,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes
S7,2017,Vr city: Software analysis in virtual reality environment,J Vincur P Navrat I Polasek�,ieeexplore.ieee.org,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Yes
S8,2010,The impact of augmented reality software with inquiry-based learning on students' learning of kinematics graph,TFL Jerry CCE Aaron�,ieeexplore.ieee.org,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes
S9,2017,Perceptions of clinical utility of an Augmented Reality musical software among health care professionals,AGD Corr�a GA de Assis…�,Taylor & Francis,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,No
S10,2014,"Needs' elaboration between users, designers and project leaders: Analysis of a design process of a virtual reality-based software",E Loup,Elsevier,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No
